# WL(nm)	 Flux(ergs/cm**2/s/nm)
596.0	8.226e+07
597.0	8.170e+07
598.0	8.096e+07
599.0	8.073e+07
600.0	8.032e+07
601.0	7.930e+07
602.0	7.870e+07
603.0	7.985e+07
604.0	8.110e+07
605.0	8.059e+07
606.0	8.009e+07
607.0	8.069e+07
608.0	7.962e+07
609.0	7.962e+07
610.0	7.888e+07
611.0	7.921e+07
612.0	7.888e+07
613.0	7.782e+07
614.0	7.662e+07
615.0	7.814e+07
616.0	7.546e+07
617.0	7.523e+07
618.0	7.805e+07
619.0	7.722e+07
620.0	7.773e+07
621.0	7.796e+07
622.0	7.722e+07
623.0	7.620e+07
624.0	7.477e+07
625.0	7.458e+07
626.0	7.574e+07
627.0	7.699e+07
628.0	7.690e+07
629.0	7.690e+07
630.0	7.528e+07
631.0	7.532e+07
632.0	7.417e+07
633.0	7.574e+07
634.0	7.449e+07
635.0	7.542e+07
636.0	7.412e+07
637.0	7.514e+07
638.0	7.551e+07
639.0	7.449e+07
640.0	7.357e+07
641.0	7.338e+07
642.0	7.287e+07
643.0	7.384e+07
644.0	7.343e+07
645.0	7.366e+07
646.0	7.255e+07
647.0	7.292e+07
648.0	7.357e+07
649.0	7.213e+07
650.0	7.070e+07
651.0	7.333e+07
652.0	7.250e+07
653.0	7.241e+07
654.0	7.135e+07
655.0	6.977e+07
656.0	6.108e+07
657.0	6.270e+07
658.0	6.977e+07
659.0	6.996e+07
660.0	7.014e+07
661.0	7.061e+07
662.0	7.107e+07
663.0	6.954e+07
664.0	6.991e+07
665.0	6.964e+07
666.0	6.954e+07
667.0	6.931e+07
668.0	6.917e+07
669.0	7.014e+07
670.0	6.977e+07
671.0	6.968e+07
672.0	6.903e+07
673.0	7.001e+07
674.0	6.968e+07
675.0	6.899e+07
676.0	6.940e+07
677.0	6.866e+07
678.0	6.880e+07
679.0	6.765e+07
680.0	6.816e+07
681.0	6.769e+07
682.0	6.760e+07
683.0	6.746e+07
684.0	6.714e+07
685.0	6.765e+07
686.0	6.732e+07
687.0	6.816e+07
688.0	6.737e+07
689.0	6.723e+07
690.0	6.677e+07
691.0	6.626e+07
692.0	6.566e+07
693.0	6.575e+07
694.0	6.594e+07
695.0	6.594e+07
696.0	6.649e+07
697.0	6.621e+07
698.0	6.529e+07
699.0	6.617e+07
700.0	6.534e+07
701.0	6.520e+07
702.0	6.483e+07
703.0	6.510e+07
704.0	6.575e+07
705.0	6.584e+07
706.0	6.520e+07
707.0	6.506e+07
708.0	6.520e+07
709.0	6.455e+07
710.0	6.487e+07
711.0	6.455e+07
712.0	6.404e+07
713.0	6.367e+07
